player,matches,innings,dismissals,catches,stumpings,dismissals_per_innings
MS Dhoni (CSK/RPS),264,257,190,148,42,0.739
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),257,235,174,137,37,0.74
WP Saha (CSK/GT/KKR/KXIP/SRH),170,149,113,87,26,0.758
RR Pant (DC),111,101,95,72,23,0.94
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),205,114,90,58,32,0.789
Q de Kock (DC/LSG/MI/RCB/SRH),107,91,81,65,16,0.89
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),139,122,81,65,16,0.663
SV Samson (DC/RR),168,108,75,59,16,0.694
NV Ojha (DC/RR/SRH),113,111,75,65,10,0.675
AC Gilchrist (DCH/KXIP),80,80,67,51,16,0.837
KL Rahul (KXIP/LSG/PBKS/RCB/SRH),132,74,63,56,7,0.851
Ishan Kishan (GL/MI),105,60,49,44,5,0.816
KC Sangakkara (DCH/KXIP/SRH),71,51,43,34,9,0.843
AB de Villiers (DC/RCB),184,52,36,28,8,0.692
JM Sharma (PBKS),40,37,28,24,4,0.756
JM Bairstow (PBKS/SRH),50,28,24,20,4,0.857
SP Goswami (KKR/RCB/RR/SRH),31,28,23,16,7,0.821
KM Jadhav (CSK/DC/Kochi/RCB/SRH),95,33,23,16,7,0.696
MS Bisla (KKR/KXIP/RCB),39,30,22,15,7,0.733
JC Buttler (MI/RR),107,30,21,20,1,0.7
H Klaasen (RCB/RR/SRH),35,30,20,13,7,0.666
M Rawat (PWI/RR),18,17,18,16,2,1.058
BB McCullum (CSK/GL/KKR/Kochi/RCB),109,18,18,12,6,1
N Pooran (KXIP/LSG/PBKS/SRH),76,31,18,14,4,0.58
PD Salt (DC/KKR),21,21,17,17,0,0.809
DH Yagnik (RR),25,24,17,12,5,0.708
MV Boucher (KKR/RCB),31,30,17,14,3,0.566
YV Takawale (MI/RCB),16,13,16,12,4,1.23
Rahmanullah Gurbaz (KKR),14,12,15,15,0,1.25
AT Rayudu (CSK/MI),204,20,15,13,2,0.75
KB Arun Karthik (CSK/RCB),17,16,13,11,2,0.812
N Saini (KXIP),10,9,11,9,2,1.222
PR Shah (MI/RR),16,14,11,8,3,0.785
Kamran Akmal (RR),6,6,9,5,4,1.5
SP Jackson (KKR),9,7,9,7,2,1.285
SW Billings (CSK/DC/KKR),30,7,8,7,1,1.142
MS Wade (DC/GT),15,7,8,7,1,1.142
MN van Wyk (KKR),5,5,7,7,0,1.4
CM Gautam (DC/MI),13,13,7,3,4,0.538
AP Tare (DC/MI/SRH),35,15,7,2,5,0.466
Abishek Porel (DC),18,5,6,6,0,1.2
Anuj Rawat (RCB/RR),24,6,6,6,0,1
KS Bharat (DC/RCB),10,8,5,4,1,0.625
DJ Jacobs (MI),7,6,4,2,2,0.666
L Ronchi (MI),5,4,3,3,0,0.75
SN Khan (DC/KXIP/PBKS/RCB),50,1,2,2,0,2
SS Shaikh (KKR),2,1,2,2,0,2
NS Naik (KKR/KXIP),4,2,2,2,0,1
DT Patil (RCB),2,2,2,2,0,1
AT Carey (DC),3,3,2,2,0,0.666
Vishnu Vinod (MI/RCB),6,4,2,0,2,0.5
U Kaul (KXIP),5,5,2,2,0,0.4
Prabhsimran Singh (KXIP/PBKS),34,5,2,2,0,0.4
Anmolpreet Singh (MI/SRH),9,1,1,1,0,1
KH Devdhar (DCH),1,1,1,0,1,1
BR Sharath (GT),1,1,1,1,0,1
Gurkeerat Singh (KXIP/RCB),41,3,1,0,1,0.333
B Indrajith (KKR),3,3,1,1,0,0.333
AG Paunikar (RR),5,4,1,1,0,0.25
BJ Haddin (KKR),1,1,0,0,0,0
Litton Das (KKR),1,1,0,0,0,0
